paper,doi,canonical,paper_term,relevance
Study of the Characteristics of Defects in the Oxidation-induced Stacking Fault-Ring Area in Czochralski Silicon Crystals by Multi-chroic Infrared Light Scattering Tomography and Transmission Electron Microscopy,10.1143/JJAP.40.4149,crystal growth method,Czochralski silicon,0.98
Study of the Characteristics of Defects in the Oxidation-induced Stacking Fault-Ring Area in Czochralski Silicon Crystals by Multi-chroic Infrared Light Scattering Tomography and Transmission Electron Microscopy,10.1143/JJAP.40.4149,defect type,oxidation-induced stacking faults,0.97
Study of the Characteristics of Defects in the Oxidation-induced Stacking Fault-Ring Area in Czochralski Silicon Crystals by Multi-chroic Infrared Light Scattering Tomography and Transmission Electron Microscopy,10.1143/JJAP.40.4149,defect region,oxidation-induced stacking fault-ring area,0.96
Study of the Characteristics of Defects in the Oxidation-induced Stacking Fault-Ring Area in Czochralski Silicon Crystals by Multi-chroic Infrared Light Scattering Tomography and Transmission Electron Microscopy,10.1143/JJAP.40.4149,characterization technique,multi-chroic infrared light scattering tomography,0.95
Study of the Characteristics of Defects in the Oxidation-induced Stacking Fault-Ring Area in Czochralski Silicon Crystals by Multi-chroic Infrared Light Scattering Tomography and Transmission Electron Microscopy,10.1143/JJAP.40.4149,characterization technique,transmission electron microscopy,0.94
Study of the Characteristics of Defects in the Oxidation-induced Stacking Fault-Ring Area in Czochralski Silicon Crystals by Multi-chroic Infrared Light Scattering Tomography and Transmission Electron Microscopy,10.1143/JJAP.40.4149,absorber material,Czochralski silicon crystals,0.93
Study of the Characteristics of Defects in the Oxidation-induced Stacking Fault-Ring Area in Czochralski Silicon Crystals by Multi-chroic Infrared Light Scattering Tomography and Transmission Electron Microscopy,10.1143/JJAP.40.4149,defect morphology,stacking fault ring,0.92
Study of the Characteristics of Defects in the Oxidation-induced Stacking Fault-Ring Area in Czochralski Silicon Crystals by Multi-chroic Infrared Light Scattering Tomography and Transmission Electron Microscopy,10.1143/JJAP.40.4149,imaging method,infrared light scattering tomography,0.91
Study of the Characteristics of Defects in the Oxidation-induced Stacking Fault-Ring Area in Czochralski Silicon Crystals by Multi-chroic Infrared Light Scattering Tomography and Transmission Electron Microscopy,10.1143/JJAP.40.4149,crystal defect,oxidation-induced defects,0.9
Study of the Characteristics of Defects in the Oxidation-induced Stacking Fault-Ring Area in Czochralski Silicon Crystals by Multi-chroic Infrared Light Scattering Tomography and Transmission Electron Microscopy,10.1143/JJAP.40.4149,semiconductor material,silicon,0.88
Study of the Characteristics of Defects in the Oxidation-induced Stacking Fault-Ring Area in Czochralski Silicon Crystals by Multi-chroic Infrared Light Scattering Tomography and Transmission Electron Microscopy,10.1143/JJAP.40.4149,defect characterization,defect characteristics,0.87
Study of the Characteristics of Defects in the Oxidation-induced Stacking Fault-Ring Area in Czochralski Silicon Crystals by Multi-chroic Infrared Light Scattering Tomography and Transmission Electron Microscopy,10.1143/JJAP.40.4149,oxidation process,oxidation-induced,0.85
Study of the Characteristics of Defects in the Oxidation-induced Stacking Fault-Ring Area in Czochralski Silicon Crystals by Multi-chroic Infrared Light Scattering Tomography and Transmission Electron Microscopy,10.1143/JJAP.40.4149,crystal quality,crystal defects in Czochralski silicon,0.84
Study of the Characteristics of Defects in the Oxidation-induced Stacking Fault-Ring Area in Czochralski Silicon Crystals by Multi-chroic Infrared Light Scattering Tomography and Transmission Electron Microscopy,10.1143/JJAP.40.4149,tomography method,multi-chroic infrared tomography,0.83
Study of the Characteristics of Defects in the Oxidation-induced Stacking Fault-Ring Area in Czochralski Silicon Crystals by Multi-chroic Infrared Light Scattering Tomography and Transmission Electron Microscopy,10.1143/JJAP.40.4149,microstructural analysis,TEM analysis,0.82
