paper,doi,canonical,paper_term,relevance
Photonic Curing of Copper Inks: A Pathway to Scalable Copper Metallization for Solar Cells,10.1002/pssa.202500493,electrode material,copper (Cu),1.0
Photonic Curing of Copper Inks: A Pathway to Scalable Copper Metallization for Solar Cells,10.1002/pssa.202500493,metallization method,photonic curing / CO2 laser sintering,1.0
Photonic Curing of Copper Inks: A Pathway to Scalable Copper Metallization for Solar Cells,10.1002/pssa.202500493,cell architecture,silicon heterojunction (SHJ),0.95
Photonic Curing of Copper Inks: A Pathway to Scalable Copper Metallization for Solar Cells,10.1002/pssa.202500493,bulk resistivity,≈19 μΩ·cm,0.95
Photonic Curing of Copper Inks: A Pathway to Scalable Copper Metallization for Solar Cells,10.1002/pssa.202500493,contact resistivity,≈35 mΩ cm−2,0.93
Photonic Curing of Copper Inks: A Pathway to Scalable Copper Metallization for Solar Cells,10.1002/pssa.202500493,sintering laser wavelength,10.6 μm (continuous-wave CO2 laser),0.9
Photonic Curing of Copper Inks: A Pathway to Scalable Copper Metallization for Solar Cells,10.1002/pssa.202500493,application domain,photovoltaic (PV) cell metallization,0.9
Photonic Curing of Copper Inks: A Pathway to Scalable Copper Metallization for Solar Cells,10.1002/pssa.202500493,ink particle morphology,micro and nanoscale Cu particles,0.88
Photonic Curing of Copper Inks: A Pathway to Scalable Copper Metallization for Solar Cells,10.1002/pssa.202500493,oxidation challenge,Cu oxidation requiring inert atmospheric conditions,0.88
Photonic Curing of Copper Inks: A Pathway to Scalable Copper Metallization for Solar Cells,10.1002/pssa.202500493,sintering technique,"rapid, localized heating via continuous-wave laser",0.88
Photonic Curing of Copper Inks: A Pathway to Scalable Copper Metallization for Solar Cells,10.1002/pssa.202500493,deposition method,microdispensing,0.87
Photonic Curing of Copper Inks: A Pathway to Scalable Copper Metallization for Solar Cells,10.1002/pssa.202500493,absorber material,crystalline silicon (c-Si),0.85
Photonic Curing of Copper Inks: A Pathway to Scalable Copper Metallization for Solar Cells,10.1002/pssa.202500493,transparent conductive oxide,indium tin oxide (ITO),0.85
