concept,doc_frequency,mds:studyStage,mds:supplyChainLevel
absorber material,17,mds:sample,"mds:materials, mds:subcomponent"
cell architecture,14,mds:sample,mds:component
metallization method,13,mds:synthesis,mds:subcomponent
device efficiency,10,mds:result,mds:component
reference metallization,7,mds:sample,mds:subcomponent
transparent conductive oxide,7,mds:sample,mds:subcomponent
contact resistivity,6,mds:result,mds:subcomponent
metallization material,6,mds:sample,mds:materials
substrate material,6,mds:sample,"mds:materials, mds:subcomponent"
application domain,5,mds:results and metadata,mds:system
deposition method,5,mds:synthesis,mds:subcomponent
electrode material,5,mds:sample,"mds:materials, mds:subcomponent"
silver consumption,5,mds:results and metadata,mds:materials
conductor material,4,mds:sample,mds:materials
electrode geometry,4,mds:recipe,"mds:subcomponent, mds:component"
cell area,3,mds:recipe,mds:component
cell technology,3,mds:sample,mds:component
contact formation,3,mds:synthesis,mds:subcomponent
contact resistance,3,mds:result,mds:subcomponent
fill factor,3,mds:result,mds:component
finger height,3,mds:result,mds:subcomponent
finger width,3,mds:result,mds:subcomponent
paste rheology,3,mds:formulation,mds:materials
photoconversion efficiency,3,mds:result,mds:component
photovoltaic technology,3,mds:results and metadata,mds:system
sintering method,3,mds:materials processing,mds:subcomponent
adhesion strength,2,mds:result,mds:subcomponent
anti-reflection coating,2,mds:sample,mds:subcomponent
cell efficiency,2,mds:result,mds:component
cell fabrication process,2,mds:materials processing,mds:component
cell geometry,2,mds:recipe,mds:component
conductive paste,2,mds:formulation,mds:materials
contact deposition method,2,mds:synthesis,mds:subcomponent
contact grid geometry,2,mds:recipe,"mds:subcomponent, mds:component"
contact material,2,mds:sample,"mds:materials, mds:subcomponent"
contact metal,2,mds:sample,"mds:materials, mds:subcomponent"
cost reduction,2,mds:results and metadata,mds:system
curing temperature,2,mds:recipe,mds:subcomponent
current distribution,2,mds:result,mds:component
degradation mechanism,2,mds:analysis,"mds:component, mds:subsystem"
deposition technique,2,"mds:s, mds:y, mds:n, mds:t, mds:h, mds:e, mds:s, mds:i, mds:s",mds:subcomponent
device architecture,2,"mds:s, mds:a, mds:m, mds:p, mds:l, mds:e",mds:component
device reliability,2,"mds:r, mds:e, mds:s, mds:u, mds:l, mds:t, mds:s, mds: , mds:a, mds:n, mds:d, mds: , mds:m, mds:e, mds:t, mds:a, mds:d, mds:a, mds:t, mds:a","mds:component, mds:subsystem"
device type,2,"mds:s, mds:a, mds:m, mds:p, mds:l, mds:e",mds:component
electrical conductivity,2,"mds:r, mds:e, mds:s, mds:u, mds:l, mds:t","mds:materials, mds:subcomponent"
film deposition method,2,"mds:s, mds:y, mds:n, mds:t, mds:h, mds:e, mds:s, mds:i, mds:s",mds:subcomponent
finger aspect ratio,2,"mds:r, mds:e, mds:s, mds:u, mds:l, mds:t",mds:subcomponent
finger geometry,2,"mds:s, mds:a, mds:m, mds:p, mds:l, mds:e",mds:subcomponent
front contact layer,2,"mds:s, mds:a, mds:m, mds:p, mds:l, mds:e",mds:subcomponent
front contact material,2,"mds:s, mds:a, mds:m, mds:p, mds:l, mds:e","mds:materials, mds:subcomponent"
industrial scalability,2,"mds:r, mds:e, mds:s, mds:u, mds:l, mds:t, mds:s, mds: , mds:a, mds:n, mds:d, mds: , mds:m, mds:e, mds:t, mds:a, mds:d, mds:a, mds:t, mds:a",mds:system
ink composition,2,"mds:f, mds:o, mds:r, mds:m, mds:u, mds:l, mds:a, mds:t, mds:i, mds:o, mds:n",mds:materials
ink formulation,2,"mds:f, mds:o, mds:r, mds:m, mds:u, mds:l, mds:a, mds:t, mds:i, mds:o, mds:n",mds:materials
