paper,transmission electron microscopy,stacking faults,scanning transmission electron microscopy,crystal defects,threading dislocations,gan,defect density,epitaxial growth,dislocation density,structural defects,cathodoluminescence,atomic-resolution imaging,misfit dislocations,2d materials,electron energy loss spectroscopy,point defects,heteroepitaxy,defect characterization,dislocations,aberration-corrected stem,gaas on si,molecular beam epitaxy,extended defects,thermal annealing,semiconductor defects,dislocation loops,planar defects,burgers vector,semiconductor heterostructures,nanostructures,tem analysis,electron probe,electronic structure,structure-property relationship,transition metal dichalcogenides,electron beam induced current,inversion domain boundaries,multicrystalline silicon,in situ tem,inversion domains,electron microscopy,electron-beam-induced current,czochralski silicon,gaas,electron energy-loss spectroscopy,metalorganic vapor phase epitaxy,transmission electron microscope,electrically active defects,nanocrystals,partial dislocations,high-resolution electron microscopy,energy dispersive x-ray spectroscopy,p-n junction,semiconductor devices,vacancy clusters,grain boundaries,epilayer,crystal structure,electron optics,atomic structure,electron diffraction,stem,silicon wafer,defect formation,dislocation tangles,photoluminescence,electrical activity,high-resolution transmission electron microscopy,quantum well,defect localization,cross-sectional tem,impurity atoms,diffusion length,chemical analysis,gaas epilayer,carrier lifetime,defect formation mechanism,high-angle annular dark-field,spatial resolution,structural analysis
Study of the Characteristics of Defects in the Oxidation-induced Stacking Fault-Ring Area in Czochralski Silicon Crystals by Multi-chroic Infrared Light Scattering Tomography and Transmission Electron Microscopy,"Study of the Characteristics of Defects in the Oxidation-induced Stacking Fault-Ring Area in Czochralski Silicon Crystals by Multi-chroic Infrared Light Scattering Tomography and Transmission Electron Microscopy, Ma, Minya, Irisawa, Toshiharu, Ogawa, Tomoya, Frigeri, Cesare",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Study of the Characteristics of Defects in the Oxidation-induced Stacking Fault-Ring Area in Czochralski Silicon Crystals by Multi-chroic Infrared Light Scattering Tomography and Transmission Electron Microscopy, Ma, Minya, Irisawa, Toshiharu, Ogawa, Tomoya, Frigeri, Cesare",,"Study of the Characteristics of Defects in the Oxidation-induced Stacking Fault-Ring Area in Czochralski Silicon Crystals by Multi-chroic Infrared Light Scattering Tomography and Transmission Electron Microscopy, Ma, Minya, Irisawa, Toshiharu, Ogawa, Tomoya, Frigeri, Cesare",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atomic Resolution Scanning Transmission Electron Microscopy of Two-Dimensional Layered Transition Metal Dichalcogenides,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
An optical and transmission electron microscopy study of deformation-induced defects in 6H-SiC,"Subsequent to the deformation tests, optical and transmission electron microscopy were used to study the deformation-induced defects such as stacking faults, deformation kinks, and cracks.","Subsequent to the deformation tests, optical and transmission electron microscopy were used to study the deformation-induced defects such as stacking faults, deformation kinks, and cracks.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Subsequent to the deformation tests, optical and transmission electron microscopy were used to study the deformation-induced defects such as stacking faults, deformation kinks, and cracks.",,,,,,,,,,,,,,,,,,,,,Deformation tests were conducted on 6H-SiC in an orientation favourable for activation of the (2110)(0001) slip system.,,,,,,,,,,,,,,,,,,
Transmission-electron microscopy study of the shape of buried ${\mathrm{In}}_{x}{\mathrm{Ga}}_{1\ensuremath{-}x}\mathrm{A}\mathrm{s}/\mathrm{G}\mathrm{a}\mathrm{A}\mathrm{s}$ quantum dots,,,,,,,,,,,,,,,,,,,,,,,,,,,,,These observations lead to the conclusion that the quantum dots in buried In0.6⁢Ga0.4⁢A⁢s/G⁡a⁢A⁢s semiconductor heterostructures are lens shaped.,,,,,,,,,,,,"High-resolution electron microscopy, on-zone bright-field imaging, and image simulation were used to investigate the shape of capped In0.6⁢Ga0.4⁢A⁢s/G⁡a⁢A⁢s semiconductor quantum dots.",,,,,,,,,,"High-resolution electron microscopy, on-zone bright-field imaging, and image simulation were used to investigate the shape of capped In0.6⁢Ga0.4⁢A⁢s/G⁡a⁢A⁢s semiconductor quantum dots.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transmission Electron Microscopy of Shape-Controlled Nanocrystals and Their Assemblies,Transmission electron microscopy (TEM) is a powerful and unique technique for structure characterization.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"In situ TEM is demonstrated for characterizing and measuring the thermodynamic, electric, and mechanical properties of individual nanostructures, from which the structure−property relationship can be registered with a specific nanoparticle/structure.",,"By forming a nanometer size electron probe, TEM is unique in identifying and quantifying the chemical and electronic structure of individual nanocrystals.","By forming a nanometer size electron probe, TEM is unique in identifying and quantifying the chemical and electronic structure of individual nanocrystals.",,,,,,"In situ TEM is demonstrated for characterizing and measuring the thermodynamic, electric, and mechanical properties of individual nanostructures, from which the structure−property relationship can be registered with a specific nanoparticle/structure.",,Transmission electron microscopy (TEM) is a powerful and unique technique for structure characterization.,,,,Electron energy-loss spectroscopy analysis of the solid-state effects and mapping the valence states are even more attractive.,,,,"This article introduces the fundamentals of TEM and its applications in structural determination of shape-controlled nanocrystals and their assemblies. | By forming a nanometer size electron probe, TEM is unique in identifying and quantifying the chemical and electronic structure of individual nanocrystals.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEM Observation of Crack- and Pit-Shaped Defects in Electrically Degraded GaN HEMTs,AlGaN/GaN high-electron mobility transistors stressed under dc bias at various channel temperatures were studied using transmission electron microscopy for evidence of physical damage.,,,,,"AlGaN/GaN high-electron mobility transistors stressed under dc bias at various channel temperatures were studied using transmission electron microscopy for evidence of physical damage. | Stressed devices consistently developed crack- and pit-shaped defects in the AlGaN/GaN crystal material under the drain-side edge of the gate, whereas side-by-side as-processed unstressed devices did not show these features.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AlGaN/GaN high-electron mobility transistors stressed under dc bias at various channel temperatures were studied using transmission electron microscopy for evidence of physical damage.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In Situ Transmission Electron Microscopy Characterization and Manipulation of Two-Dimensional Layered Materials beyond Graphene,"Transmission electron microscopy (TEM), with its high spatial resolution and versatile external fields, is undoubtedly a powerful tool for the static characterization and dynamic manipulation of nanomaterials and nanodevices at the atomic scale.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"In this Review, the dynamic properties tailored and observed by the most advanced and unprecedented in situ TEM technology are introduced.",,"Transmission electron microscopy (TEM), with its high spatial resolution and versatile external fields, is undoubtedly a powerful tool for the static characterization and dynamic manipulation of nanomaterials and nanodevices at the atomic scale.",,,,,,,,,,,,,,,,,,,,,"The rapid development of thin-film and precision microelectromechanical systems (MEMS) techniques allows 2D layered materials and nanodevices to be probed and engineered inside TEM under external stimuli such as thermal, electrical, mechanical, liquid/gas environmental, optical, and magnetic fields at the nanoscale.",,,,,,,,,,,,,,,,,"Transmission electron microscopy (TEM), with its high spatial resolution and versatile external fields, is undoubtedly a powerful tool for the static characterization and dynamic manipulation of nanomaterials and nanodevices at the atomic scale.",
Stable Defects in Semiconductor Nanowires,,,,,,,,,,,"Studies of individual nanowires using cathodoluminescence show that optical emission is quenched in defective regions, showing that they act as strong nonradiative recombination centers.",,,,,,,,"Here, we describe previously undiscovered topologically protected line defects with null Burgers vector that, unlike dislocations, are stable in nanoscale crystals. | We find two new line defects with a null Burgers vector, formed from the combination of partial dislocations in twinned material.",,,,,,,,,"Here, we describe previously undiscovered topologically protected line defects with null Burgers vector that, unlike dislocations, are stable in nanoscale crystals. | Our observations show that the nanowire microstructure is very different from bulk material, with line defects either (a) trapped by locks or other defects, (b) arranged as dipoles or groups with a zero total Burgers vector, or (c) have a zero Burgers vector. | We find two new line defects with a null Burgers vector, formed from the combination of partial dislocations in twinned material. | The most common defect is the three-monolayer high twin facet with a zero Burgers vector.",,,,,,,,,,,,,,,,,,,,,,"We find two new line defects with a null Burgers vector, formed from the combination of partial dislocations in twinned material.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Study of Multi-twin Defects Generated in GaAs and InP Films on Nanopatterned Si via Transmission Electron Microscopy,We investigated defect generation in GaAs and InP on various blanket Si substrates and Si patterns with nanosized trench structures via transmission electron microscopy.,"Defects that formed in a specific direction, and shapes similar to those stacking faults or twin boundaries (TWs) were confirmed.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,We investigated defect generation in GaAs and InP on various blanket Si substrates and Si patterns with nanosized trench structures via transmission electron microscopy.,,,We investigated defect generation in GaAs and InP on various blanket Si substrates and Si patterns with nanosized trench structures via transmission electron microscopy. | The dependences of types of defects on the substrate orientation and the pattern size in GaAs and InP on nanosized patterns were analyzed.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unlocking Insights into 3D Transistor Defects: The Power of Supplementing TEM with Elemental Electron Tomography,"This study investigates the application of 3D electron tomography to enhance transmission electron microscopy (TEM)-based failure analysis of 3D FinFET transistors. | Leveraging scanning transmission electron microscopy (STEM) and energy dispersive X-ray spectroscopy (EDS) tomography techniques, the study presents detailed examinations of two semiconductor samples exhibiting high leakage currents.",,"Leveraging scanning transmission electron microscopy (STEM) and energy dispersive X-ray spectroscopy (EDS) tomography techniques, the study presents detailed examinations of two semiconductor samples exhibiting high leakage currents.",,,,,,,,,,,,,,,"Traditional TEM analysis is challenged by projection effects due to the thickness of the sample, complicating accurate defect characterization in miniaturized semiconductor structures.",,,,,,,,,,,,,"Traditional TEM analysis is challenged by projection effects due to the thickness of the sample, complicating accurate defect characterization in miniaturized semiconductor structures.",,,,,,,,,,"This study investigates the application of 3D electron tomography to enhance transmission electron microscopy (TEM)-based failure analysis of 3D FinFET transistors. | Leveraging scanning transmission electron microscopy (STEM) and energy dispersive X-ray spectroscopy (EDS) tomography techniques, the study presents detailed examinations of two semiconductor samples exhibiting high leakage currents.",,,,,,,,,,,"Leveraging scanning transmission electron microscopy (STEM) and energy dispersive X-ray spectroscopy (EDS) tomography techniques, the study presents detailed examinations of two semiconductor samples exhibiting high leakage currents.",,,,,,,,,,"Leveraging scanning transmission electron microscopy (STEM) and energy dispersive X-ray spectroscopy (EDS) tomography techniques, the study presents detailed examinations of two semiconductor samples exhibiting high leakage currents.",,,,,,,,,,,,,,,,,,
Understanding individual defects in CdTe thin-film solar cells via STEM: From atomic structure to electrical activity,"A variety of experimental methods, including aberration-corrected scanning transmission electron microscopy, electron energy loss spectroscopy, energy dispersive X-ray spectroscopy, and electron-beam-induced current have been combined with density-functional theory.",,"A variety of experimental methods, including aberration-corrected scanning transmission electron microscopy, electron energy loss spectroscopy, energy dispersive X-ray spectroscopy, and electron-beam-induced current have been combined with density-functional theory.",,,,,,,,,,,,"A variety of experimental methods, including aberration-corrected scanning transmission electron microscopy, electron energy loss spectroscopy, energy dispersive X-ray spectroscopy, and electron-beam-induced current have been combined with density-functional theory.",,,,"The research traces the connections between the structures and electrical activities of individual defects including intra-grain partial dislocations, grain boundaries and the CdTe/CdS interface.",,,,,,,,,,,,,,,,,,,,,,"A variety of experimental methods, including aberration-corrected scanning transmission electron microscopy, electron energy loss spectroscopy, energy dispersive X-ray spectroscopy, and electron-beam-induced current have been combined with density-functional theory.","A variety of experimental methods, including aberration-corrected scanning transmission electron microscopy, electron energy loss spectroscopy, energy dispersive X-ray spectroscopy, and electron-beam-induced current have been combined with density-functional theory.",,,,,,,,"The research traces the connections between the structures and electrical activities of individual defects including intra-grain partial dislocations, grain boundaries and the CdTe/CdS interface.",,"A variety of experimental methods, including aberration-corrected scanning transmission electron microscopy, electron energy loss spectroscopy, energy dispersive X-ray spectroscopy, and electron-beam-induced current have been combined with density-functional theory.",,,,"The research traces the connections between the structures and electrical activities of individual defects including intra-grain partial dislocations, grain boundaries and the CdTe/CdS interface.",,,,,,Here we review a systematic study of the structure-property correlations of a series of defects in CdTe solar cells.,,,,,,,,,,,,,,,,,,
Annealing of hydrogen-induced defects in RF-plasma-treated Si wafers: ex situ and in situ transmission electron microscopy studies,"The samples are studied by transmission electron microscopy (TEM), before and after annealing.",,,,,,,,,The smart-cut™ process is based on inducing and processing structural defects below the free surface of semiconductor wafers.,,,,,,,,,,,,,,,,,The TEM microstructural studies indicate a partial healing of the planar defects and a size increase of the nanometric cavities by a coalescence process of the small neighbouring nanocavities.,,,,,,,,,,,,,,"The samples are studied by transmission electron microscopy (TEM), before and after annealing.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role of Electron Microscopy in Semiconductor Electronic Defects Analysis,A review of the Transmission Electron Microscopy and Scanning Transmission Electron Microscopy techniques used for electronic defect identification is presented.,,A review of the Transmission Electron Microscopy and Scanning Transmission Electron Microscopy techniques used for electronic defect identification is presented.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A review of the Transmission Electron Microscopy and Scanning Transmission Electron Microscopy techniques used for electronic defect identification is presented.,,,,,,,,,,,,,,,,,,,,,"The structural, chemical and STEM based spectroscopy methods for electronic defect analysis are discussed along with selected examples.",,,,,,,,,,,,,,,,,,
Transmission electron microscopy of interfaces in III–V compound semiconductors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"By combining the excellent control of the molecular‐beam‐epitaxy deposition technique to fabricate ’’interface superlattices’’ with high‐resolution dark‐field and lattice‐imaging TEM techniques, the interface roughness between ultrathin GaAs and AlAs films have been analyzed on an atomic scale. | Interdiffusion at GaAs and AlAs interfaces is also discussed, and two methods which make use of ’’interface superlattices’’ are presented.",,,,,,,,,,,,,,,,,,They allow for rapid and precise measurements of diffusion profiles and diffusion length as small as 2.83 Å for this system.,,,,,,,,,,,They allow for rapid and precise measurements of diffusion profiles and diffusion length as small as 2.83 Å for this system.,,,,,,,
A transmission electron microscopy quantitative study of the growth kinetics of H platelets in Si,"In this letter, rigorous statistical methods based on transmission electron microscopy have been used to quantitatively study the thermal behavior of these defects.",,,,,,,,,,,,,,,,,,,,,,"Proton implantation and thermal annealing of silicon result in the formation of a specific type of extended defects involving hydrogen, named “platelets” or “cavities.” These defects have been related to the exfoliation mechanism on which a newly developed process to transfer thin films of silicon onto various substrates is based.","Proton implantation and thermal annealing of silicon result in the formation of a specific type of extended defects involving hydrogen, named “platelets” or “cavities.” These defects have been related to the exfoliation mechanism on which a newly developed process to transfer thin films of silicon onto various substrates is based.",,,,,,,,,,,,,,,,,"In this letter, rigorous statistical methods based on transmission electron microscopy have been used to quantitatively study the thermal behavior of these defects.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In situ transmission electron microscopy study of the formation and migration of vacancy defects in atomically thin black phosphorus,"In this work, we investigated the formation, aggregation, and diffusion of vacancy defects in atomically thin black phosphorus (BP) via in situ high-resolution transmission electron microscopy.",,,,,,,,,"Structural defects play an important role in the optimization of material structures and properties, especially in low-dimensional systems such as two-dimensional (2D) materials. | tetra-vacancy and TV), and vacancy lines were confirmed as the primary forms of structural defects in BP.",,,,,,,,,,,,,,,,,,,,,,,"Ab initio calculations were conducted to reveal the vacancy migration pathway, energy landscape, and modifications to the electronic structure of the host BP monolayers (MLs). | Calculations further confirmed that the presence of vacancy defects induced considerable electronic structure modification of the host ML-BP; for example, the bandgap was reduced from 0.9 eV (for defect-free ML-BP) to 0.7 eV in the presence of vacancy lines with a concentration of 1.2 at.%. | The present study expands the current understanding of the formation and dynamic behaviors of primary vacancy defects and illustrates methods available to alter the electronic structures of 2D BP materials.",,,,,,,,"In this work, we investigated the formation, aggregation, and diffusion of vacancy defects in atomically thin black phosphorus (BP) via in situ high-resolution transmission electron microscopy.",,,,,,,,,,,,,,"Vacancy defects including di-vacancies (DVs), vacancy clusters (e.g.",,,,,,,"Structural defects play an important role in the optimization of material structures and properties, especially in low-dimensional systems such as two-dimensional (2D) materials.",,,,,,"In this work, we investigated the formation, aggregation, and diffusion of vacancy defects in atomically thin black phosphorus (BP) via in situ high-resolution transmission electron microscopy.",,,,,,,,,,,,
Structure of defects in semiconductor crystalline cubic boron nitride. A microstructural and micro analytical investigation,,,,,,,,,,,,,,,,Previous electron spin resonance investigations correlated with data from cathodoluminscence and photoluminescence measurements have shown that impurity ions consisting mainly of isotopes with zero nuclear moments are involved in the structure of the observed paramagnetic point defects.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Previous electron spin resonance investigations correlated with data from cathodoluminscence and photoluminescence measurements have shown that impurity ions consisting mainly of isotopes with zero nuclear moments are involved in the structure of the observed paramagnetic point defects.,,,,,,"In the present microstructural and compositional investigation we demonstrate that oxygen, carbon and silicon impurity atoms exhibiting low natural content of isotopes with non-zero nuclear spin are indeed present in cBN crystallites selected from amber coloured BORAZON CBN400 and CBN 500 super abrasive powders, as well as in the black coloured BORAZON CBN1000 and CBN Type 1. | It is also shown that aggregates of impurity atoms are present next to the extended cBN lattice defects, which could explain the non-uniform distribution of the electro- and opto-active impurities reported in a spectroscopy investigation.",,,,,,,,
Defects and defect reduction processing in semiconductor heterostructures,Transmission electron microscopy has been used to study the dislocation density reduction and the interaction of threading dislocations with the strained layers.,,,,Threading dislocations in the epilayer are the most prominent defects and their density has to be controlled to fully utilize the properties of semiconductor heterostructures. | Several superlattice structures have been used to reduce the density of threading dislocations in the GaAs epilayer. | Transmission electron microscopy has been used to study the dislocation density reduction and the interaction of threading dislocations with the strained layers.,,The full potential of GaAs on Si heterostructures can only be realized by controlling the defect density.,,"Various processes to reduce defect densities in the epilayers have been discussed and in particular, the use of strained layer superlattices to reduce the threading dislocation density has been presented in this paper. | In this study, we have optimized the use of strained layer superlattices with respect to the position, period and number to reduce and control the dislocation density. | The use of strained layer superlattices in conjunction with rapid thermal annealing was found to be the most effective method in reducing threading dislocation density. | Transmission electron microscopy has been used to study the dislocation density reduction and the interaction of threading dislocations with the strained layers.",,,,The nature of misfit dislocations at the heterointerface has been studied and a mechanism for the formation of 60&#x00B0; and 90&#x00B0; misfit dislocations has been proposed.,,,,,,Defects such as dislocations and interfaces play a crucial role in the performance of heterostructure devices. | The nature of misfit dislocations at the heterointerface has been studied and a mechanism for the formation of 60&#x00B0; and 90&#x00B0; misfit dislocations has been proposed. | Threading dislocations in the epilayer are the most prominent defects and their density has to be controlled to fully utilize the properties of semiconductor heterostructures. | Several superlattice structures have been used to reduce the density of threading dislocations in the GaAs epilayer. | Transmission electron microscopy has been used to study the dislocation density reduction and the interaction of threading dislocations with the strained layers.,,The full potential of GaAs on Si heterostructures can only be realized by controlling the defect density.,,,The use of strained layer superlattices in conjunction with rapid thermal annealing was found to be the most effective method in reducing threading dislocation density.,,,,,Threading dislocations in the epilayer are the most prominent defects and their density has to be controlled to fully utilize the properties of semiconductor heterostructures.,,,,,,,,,,,,Transmission electron microscopy has been used to study the dislocation density reduction and the interaction of threading dislocations with the strained layers.,,,The full potential of GaAs on Si heterostructures can only be realized by controlling the defect density. | Several superlattice structures have been used to reduce the density of threading dislocations in the GaAs epilayer.,,,,,,,,,,,,,"Threading dislocations in the epilayer are the most prominent defects and their density has to be controlled to fully utilize the properties of semiconductor heterostructures. | Various processes to reduce defect densities in the epilayers have been discussed and in particular, the use of strained layer superlattices to reduce the threading dislocation density has been presented in this paper. | Several superlattice structures have been used to reduce the density of threading dislocations in the GaAs epilayer.",,,,,,,,,,,,,,,,,,Several superlattice structures have been used to reduce the density of threading dislocations in the GaAs epilayer.,,,,,
Structure and bonding at the atomic scale by scanning transmission electron microscopy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Advances in electron optics have enabled the imaging and spectroscopy of these buried interface states and other nanostructures with atomic resolution.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Advances in electron optics have enabled the imaging and spectroscopy of these buried interface states and other nanostructures with atomic resolution.,,,"All of these systems are made up of dissimilar materials that, where they join at the atomic scale, display very different behaviour from what might be expected of the bulk materials.",,,,,,,,,,,,,,,,,,
