concept,doc_frequency,avg_relevance
perovskite solar cells,2,0.71585
crucial,2,0.13605
passivation perovskite surface,1,0.8123
perovskite surface defects,1,0.755
passivation perovskite,1,0.7539
achieving perovskite solar,1,0.7383
perovskite solar,1,0.6877
perovskite surface,1,0.6545
applicability various perovskite,1,0.6249
deepdeg degradation characterization,1,0.621
molecule d4pa perovskite,1,0.5587
perovskite compositions device,1,0.5528
degradation novel photovoltaics,1,0.521
deepdeg machine learning,1,0.5199
predict degradation,1,0.5179
anchoring interactions perovskite,1,0.4801
hours degradation pce10,1,0.4759
surface defects crucial,1,0.4351
organic solar cells,1,0.4262
small molecule materials,1,0.418
deep learning explainable,1,0.4171
solar cells high,1,0.3928
intramolecular coupling d4pa,1,0.3714
model combines deep,1,0.36
hole selective contacts,1,0.3485
elusive passivation strategy,1,0.3261
energy devices understanding,1,0.3085
learning physical modeling,1,0.3081
stability tests organic,1,0.276
film intramolecular,1,0.2565
pce10 oidtbr evaluate,1,0.2496
dataset 000 hours,1,0.2369
charge transport inhibiting,1,0.2261
physiochemical factors driving,1,0.208
substrate enhancing interfacial,1,0.1988
screening accelerated,1,0.1799
impacting cell efficiency,1,0.1753
devices power conversion,1,0.1724
device architectures,1,0.1644
cells high performance,1,0.1531
point tracking efficiency,1,0.1521
prevent aggregation small,1,0.1518
inhibiting defect formation,1,0.1482
mini module effective,1,0.1421
cross validation,1,0.1408
stability deposit new,1,0.1372
samples address challenge,1,0.1317
anchoring interactions,1,0.1267
conformations,1,0.1061
785,1,0.093
consuming measurements,1,0.0817
present textit,1,0.0805
stability universal,1,0.0277
exhibit certified,1,0.0211
processing window,1,0.0127
developed broad,1,-0.034
shows applicability,1,-0.0365
remain,1,-0.0449
