concept,doc_frequency,avg_relevance
transmission electron microscopy,31,0.9312903225806451
stacking faults,12,0.8691666666666666
scanning transmission electron microscopy,10,0.931
crystal defects,9,0.84
threading dislocations,7,0.9185714285714285
gan,7,0.9114285714285714
defect density,7,0.8042857142857143
epitaxial growth,7,0.7757142857142857
dislocation density,5,0.876
structural defects,5,0.842
cathodoluminescence,4,0.8999999999999999
atomic-resolution imaging,4,0.89
misfit dislocations,4,0.88
2d materials,4,0.8775
electron energy loss spectroscopy,4,0.8275
point defects,4,0.8225
heteroepitaxy,4,0.8125
defect characterization,4,0.7849999999999999
dislocations,4,0.7575000000000001
aberration-corrected stem,3,0.9833333333333334
gaas on si,3,0.9700000000000001
molecular beam epitaxy,3,0.96
extended defects,3,0.9166666666666666
thermal annealing,3,0.89
semiconductor defects,3,0.8766666666666666
dislocation loops,3,0.8366666666666666
planar defects,3,0.8233333333333334
burgers vector,3,0.8233333333333333
semiconductor heterostructures,3,0.82
nanostructures,3,0.8166666666666668
tem analysis,3,0.7999999999999999
electron probe,3,0.7966666666666667
electronic structure,3,0.7866666666666667
structure-property relationship,3,0.7433333333333333
transition metal dichalcogenides,2,1.0
electron beam induced current,2,0.98
inversion domain boundaries,2,0.9650000000000001
multicrystalline silicon,2,0.96
in situ tem,2,0.95
inversion domains,2,0.935
electron microscopy,2,0.925
electron-beam-induced current,2,0.925
czochralski silicon,2,0.9199999999999999
gaas,2,0.9199999999999999
electron energy-loss spectroscopy,2,0.91
metalorganic vapor phase epitaxy,2,0.91
transmission electron microscope,2,0.9099999999999999
electrically active defects,2,0.905
nanocrystals,2,0.905
partial dislocations,2,0.89
high-resolution electron microscopy,2,0.885
energy dispersive x-ray spectroscopy,2,0.875
p-n junction,2,0.865
semiconductor devices,2,0.865
vacancy clusters,2,0.8600000000000001
grain boundaries,2,0.8500000000000001
epilayer,2,0.8400000000000001
crystal structure,2,0.835
electron optics,2,0.835
atomic structure,2,0.825
electron diffraction,2,0.825
stem,2,0.825
silicon wafer,2,0.8200000000000001
defect formation,2,0.82
dislocation tangles,2,0.815
photoluminescence,2,0.815
electrical activity,2,0.81
high-resolution transmission electron microscopy,2,0.81
quantum well,2,0.81
defect localization,2,0.8049999999999999
cross-sectional tem,2,0.79
impurity atoms,2,0.79
diffusion length,2,0.785
chemical analysis,2,0.78
gaas epilayer,2,0.775
carrier lifetime,2,0.77
defect formation mechanism,2,0.75
high-angle annular dark-field,2,0.75
spatial resolution,2,0.75
structural analysis,2,0.75
edge dislocations,2,0.745
electron spectroscopy,2,0.74
silicon substrate,2,0.74
sapphire substrate,2,0.735
defect engineering,2,0.725
device reliability,2,0.72
ii-vi semiconductor,2,0.7
crystal orientation,2,0.635
1d nanostructures,1,1.0
2d layered materials,1,1.0
3d electron tomography,1,1.0
6h-sic,1,1.0
algan/gan,1,1.0
aluminum nitride,1,1.0
band gap reduction,1,1.0
black phosphorus,1,1.0
cdte solar cells,1,1.0
cu2znsns4,1,1.0
cu2znsns4 (czts),1,1.0
cubic boron nitride,1,1.0
dark line defects,1,1.0
differential phase contrast,1,1.0
electron tomography,1,1.0
electronic defect identification,1,1.0
fe contamination,1,1.0
finfet transistors,1,1.0
gasb diodes,1,1.0
hgcdte,1,1.0
high-electron mobility transistors,1,1.0
in0.6ga0.4as/gaas,1,1.0
ingan/gan,1,1.0
nanopipes,1,1.0
nonpolar zno films,1,1.0
oxidation-induced stacking fault,1,1.0
photoelectrochemical etching,1,1.0
polarized cl,1,1.0
semiconductor nanowires,1,1.0
semiconductor quantum dots,1,1.0
semiconductor-metal interfaces,1,1.0
si nanowires,1,1.0
si(100) surface,1,1.0
smart-cut process,1,1.0
strained layer superlattices,1,1.0
v defects,1,1.0
vacancy defects,1,1.0
zn1−xcdxse,1,1.0
β-ga2o3,1,1.0
beta gallium oxide,1,0.99
2d tmds,1,0.98
antimony,1,0.98
conservative ripening,1,0.98
heteroepitaxial gaas,1,0.98
topologically protected line defects,1,0.98
cbn crystallites,1,0.97
cdte,1,0.97
ebic,1,0.97
frank-type stacking faults,1,0.97
grazing incidence diffuse x-ray scattering,1,0.97
haadf-stem tomography,1,0.97
hydrogen passivation,1,0.97
in situ ebic,1,0.97
infrared light scattering tomography,1,0.97
inverse piezoelectric effect,1,0.97
multi-twin defects,1,0.97
null burgers vector,1,0.97
platelets,1,0.97
rf-plasma hydrogenation,1,0.97
stacking fault ring,1,0.97
(2110)(0001) slip,1,0.96
cavities,1,0.96
focused ion beam,1,0.96
hydrogen plasma treatment,1,0.96
thermal-cycle annealing,1,0.96
aberration correctors,1,0.95
aberration-corrected transmission electron microscopy,1,0.95
algan/gan heterostructure,1,0.95
composition inhomogeneity,1,0.95
defects,1,0.95
deformation kinks,1,0.95
di-vacancies,1,0.95
dopant deactivation,1,0.95
ebic imaging,1,0.95
elastic strain engineering,1,0.95
epitaxial gan,1,0.95
epitaxial strain,1,0.95
failure analysis,1,0.95
gallium knudsen cells,1,0.95
gan films,1,0.95
gasb substrates,1,0.95
heteroepitaxial films,1,0.95
high-k dielectrics,1,0.95
hrtem,1,0.95
hydrogen-induced defects,1,0.95
iii-v compound semiconductors,1,0.95
ingan,1,0.95
ingan/gan multi-quantum well,1,0.95
inp,1,0.95
interface defects,1,0.95
multiple quantum well,1,0.95
nanobelts,1,0.95
nanocavities,1,0.95
nanowires,1,0.95
ohmic contacts,1,0.95
organometallic vapor phase epitaxy,1,0.95
paramagnetic point defects,1,0.95
proton implantation,1,0.95
segmented-type stem detectors,1,0.95
slip system,1,0.95
stem spectroscopy,1,0.95
ultra-wide-band gap semiconductor,1,0.95
valence electron energy-loss spectroscopy,1,0.95
y0 emission,1,0.95
y1 emission,1,0.95
znse,1,0.95
znse films,1,0.95
znsse,1,0.95
(algaas) interlayer,1,0.94
antimony precipitates,1,0.94
tem lamella preparation,1,0.94
antimony aggregates,1,0.93
aspect ratio trapping,1,0.93
atomic resolution,1,0.93
blue-green laser,1,0.93
burgers circuit method,1,0.93
dc bias stress,1,0.93
defect analysis,1,0.93
defect passivation,1,0.93
defect structures,1,0.93
dislocation reduction,1,0.93
electromagnetic field imaging,1,0.93
electron spin resonance,1,0.93
gaas/si,1,0.93
gallium droplets,1,0.93
ge/si,1,0.93
heterostructure,1,0.93
hfo2,1,0.93
hydrogen implantation,1,0.93
interface roughness,1,0.93
nanoparticles,1,0.93
recombination-active defects,1,0.93
screw dislocations,1,0.93
si(100) surfaces,1,0.93
silicon carbide,1,0.93
supersaturated dopants,1,0.93
tem lamella,1,0.93
vacancy lines,1,0.93
β-sic/si,1,0.93
(211)b orientation,1,0.92
3d nanostructures,1,0.92
3d structural characterization,1,0.92
aberration-corrected scanning transmission electron microscopy,1,0.92
buried interface states,1,0.92
crystallographic defects,1,0.92
deep levels,1,0.92
defect generation,1,0.92
diamond paste polishing,1,0.92
hot-injection synthesis,1,0.92
image simulation,1,0.92
