paper,doi,canonical,paper_term,relevance
Comparative degradation analysis of different photovoltaic technologies on experimentally simulated water bodies and estimation of evaporation loss reduction,10.1002/pip.3370,degradation rate,"0.50% (HIT, water and land)",0.98
Comparative degradation analysis of different photovoltaic technologies on experimentally simulated water bodies and estimation of evaporation loss reduction,10.1002/pip.3370,degradation rate,"1.32% (m-Si, water-mounted)",0.98
Comparative degradation analysis of different photovoltaic technologies on experimentally simulated water bodies and estimation of evaporation loss reduction,10.1002/pip.3370,degradation rate,"1.68% (CdTe, water-mounted)",0.98
Comparative degradation analysis of different photovoltaic technologies on experimentally simulated water bodies and estimation of evaporation loss reduction,10.1002/pip.3370,mounting environment,water-mounted (floating PV),0.97
Comparative degradation analysis of different photovoltaic technologies on experimentally simulated water bodies and estimation of evaporation loss reduction,10.1002/pip.3370,degradation comparison,water vs. land-mounted PV degradation comparison,0.96
Comparative degradation analysis of different photovoltaic technologies on experimentally simulated water bodies and estimation of evaporation loss reduction,10.1002/pip.3370,photovoltaic technology type,multicrystalline-Si (m-Si),0.95
Comparative degradation analysis of different photovoltaic technologies on experimentally simulated water bodies and estimation of evaporation loss reduction,10.1002/pip.3370,photovoltaic technology type,heterojunction intrinsic thin layer (HIT),0.95
Comparative degradation analysis of different photovoltaic technologies on experimentally simulated water bodies and estimation of evaporation loss reduction,10.1002/pip.3370,photovoltaic technology type,cadmium telluride (CdTe),0.95
Comparative degradation analysis of different photovoltaic technologies on experimentally simulated water bodies and estimation of evaporation loss reduction,10.1002/pip.3370,land degradation rate,"0.93% (m-Si, land-mounted)",0.93
Comparative degradation analysis of different photovoltaic technologies on experimentally simulated water bodies and estimation of evaporation loss reduction,10.1002/pip.3370,land degradation rate,"1.41% (CdTe, land-mounted)",0.93
Comparative degradation analysis of different photovoltaic technologies on experimentally simulated water bodies and estimation of evaporation loss reduction,10.1002/pip.3370,mounting environment,land-mounted PV,0.92
Comparative degradation analysis of different photovoltaic technologies on experimentally simulated water bodies and estimation of evaporation loss reduction,10.1002/pip.3370,system reliability,reliability of PV technologies on water bodies,0.91
Comparative degradation analysis of different photovoltaic technologies on experimentally simulated water bodies and estimation of evaporation loss reduction,10.1002/pip.3370,environmental condition,high humid conditions above water surface,0.9
Comparative degradation analysis of different photovoltaic technologies on experimentally simulated water bodies and estimation of evaporation loss reduction,10.1002/pip.3370,degradation analysis method,electrical parameter measurement,0.88
Comparative degradation analysis of different photovoltaic technologies on experimentally simulated water bodies and estimation of evaporation loss reduction,10.1002/pip.3370,characterisation technique,thermal imaging,0.87
Comparative degradation analysis of different photovoltaic technologies on experimentally simulated water bodies and estimation of evaporation loss reduction,10.1002/pip.3370,electrical parameter,electrical parameters of PV modules,0.86
Comparative degradation analysis of different photovoltaic technologies on experimentally simulated water bodies and estimation of evaporation loss reduction,10.1002/pip.3370,device modelling,mathematical PV model for internal parameter degradation,0.85
Comparative degradation analysis of different photovoltaic technologies on experimentally simulated water bodies and estimation of evaporation loss reduction,10.1002/pip.3370,evaporation reduction,evaporation reduction by water-mounted PV,0.84
Comparative degradation analysis of different photovoltaic technologies on experimentally simulated water bodies and estimation of evaporation loss reduction,10.1002/pip.3370,internal device parameter,internal parameters degradation,0.84
Comparative degradation analysis of different photovoltaic technologies on experimentally simulated water bodies and estimation of evaporation loss reduction,10.1002/pip.3370,evaporation model,analytical model to estimate evaporation,0.83
