paper,concept,relevance
Universal strategy for passivation,perovskite solar cells,0.8123
Universal strategy for passivation,passivation perovskite surface,0.8123
Universal strategy for passivation,perovskite surface defects,0.755
Universal strategy for passivation,passivation perovskite,0.7539
Universal strategy for passivation,achieving perovskite solar,0.7383
Universal strategy for passivation,perovskite solar,0.6877
Universal strategy for passivation,perovskite surface,0.6545
Universal strategy for passivation,applicability various perovskite,0.6249
Universal strategy for passivation,perovskite compositions device,0.5528
Universal strategy for passivation,surface defects crucial,0.4351
Universal strategy for passivation,solar cells high,0.3928
Universal strategy for passivation,elusive passivation strategy,0.3261
Universal strategy for passivation,device architectures,0.1644
Universal strategy for passivation,cells high performance,0.1531
Universal strategy for passivation,crucial,0.1316
Universal strategy for passivation,stability universal,0.0277
Universal strategy for passivation,processing window,0.0127
Universal strategy for passivation,developed broad,-0.034
Universal strategy for passivation,shows applicability,-0.0365
Universal strategy for passivation,remain,-0.0449
High-efficiency perovskite solar cells enabled by suppressing intermolecular aggregation in hole-selective contacts,perovskite solar cells,0.6194
High-efficiency perovskite solar cells enabled by suppressing intermolecular aggregation in hole-selective contacts,molecule d4pa perovskite,0.5587
High-efficiency perovskite solar cells enabled by suppressing intermolecular aggregation in hole-selective contacts,anchoring interactions perovskite,0.4801
High-efficiency perovskite solar cells enabled by suppressing intermolecular aggregation in hole-selective contacts,small molecule materials,0.418
High-efficiency perovskite solar cells enabled by suppressing intermolecular aggregation in hole-selective contacts,intramolecular coupling d4pa,0.3714
High-efficiency perovskite solar cells enabled by suppressing intermolecular aggregation in hole-selective contacts,hole selective contacts,0.3485
High-efficiency perovskite solar cells enabled by suppressing intermolecular aggregation in hole-selective contacts,film intramolecular,0.2565
High-efficiency perovskite solar cells enabled by suppressing intermolecular aggregation in hole-selective contacts,charge transport inhibiting,0.2261
High-efficiency perovskite solar cells enabled by suppressing intermolecular aggregation in hole-selective contacts,substrate enhancing interfacial,0.1988
High-efficiency perovskite solar cells enabled by suppressing intermolecular aggregation in hole-selective contacts,impacting cell efficiency,0.1753
High-efficiency perovskite solar cells enabled by suppressing intermolecular aggregation in hole-selective contacts,devices power conversion,0.1724
High-efficiency perovskite solar cells enabled by suppressing intermolecular aggregation in hole-selective contacts,point tracking efficiency,0.1521
High-efficiency perovskite solar cells enabled by suppressing intermolecular aggregation in hole-selective contacts,prevent aggregation small,0.1518
High-efficiency perovskite solar cells enabled by suppressing intermolecular aggregation in hole-selective contacts,inhibiting defect formation,0.1482
High-efficiency perovskite solar cells enabled by suppressing intermolecular aggregation in hole-selective contacts,mini module effective,0.1421
High-efficiency perovskite solar cells enabled by suppressing intermolecular aggregation in hole-selective contacts,crucial,0.1405
High-efficiency perovskite solar cells enabled by suppressing intermolecular aggregation in hole-selective contacts,stability deposit new,0.1372
High-efficiency perovskite solar cells enabled by suppressing intermolecular aggregation in hole-selective contacts,anchoring interactions,0.1267
High-efficiency perovskite solar cells enabled by suppressing intermolecular aggregation in hole-selective contacts,conformations,0.1061
High-efficiency perovskite solar cells enabled by suppressing intermolecular aggregation in hole-selective contacts,exhibit certified,0.0211
DeepDeg: Forecasting and explaining degradation in novel photovoltaics,deepdeg degradation characterization,0.621
DeepDeg: Forecasting and explaining degradation in novel photovoltaics,degradation novel photovoltaics,0.521
DeepDeg: Forecasting and explaining degradation in novel photovoltaics,deepdeg machine learning,0.5199
DeepDeg: Forecasting and explaining degradation in novel photovoltaics,predict degradation,0.5179
DeepDeg: Forecasting and explaining degradation in novel photovoltaics,hours degradation pce10,0.4759
DeepDeg: Forecasting and explaining degradation in novel photovoltaics,organic solar cells,0.4262
DeepDeg: Forecasting and explaining degradation in novel photovoltaics,deep learning explainable,0.4171
DeepDeg: Forecasting and explaining degradation in novel photovoltaics,model combines deep,0.36
DeepDeg: Forecasting and explaining degradation in novel photovoltaics,energy devices understanding,0.3085
DeepDeg: Forecasting and explaining degradation in novel photovoltaics,learning physical modeling,0.3081
DeepDeg: Forecasting and explaining degradation in novel photovoltaics,stability tests organic,0.276
DeepDeg: Forecasting and explaining degradation in novel photovoltaics,pce10 oidtbr evaluate,0.2496
DeepDeg: Forecasting and explaining degradation in novel photovoltaics,dataset 000 hours,0.2369
DeepDeg: Forecasting and explaining degradation in novel photovoltaics,physiochemical factors driving,0.208
DeepDeg: Forecasting and explaining degradation in novel photovoltaics,screening accelerated,0.1799
DeepDeg: Forecasting and explaining degradation in novel photovoltaics,cross validation,0.1408
DeepDeg: Forecasting and explaining degradation in novel photovoltaics,samples address challenge,0.1317
DeepDeg: Forecasting and explaining degradation in novel photovoltaics,785,0.093
DeepDeg: Forecasting and explaining degradation in novel photovoltaics,consuming measurements,0.0817
DeepDeg: Forecasting and explaining degradation in novel photovoltaics,present textit,0.0805
