paper,concept,relevance
Study of the Characteristics of Defects in the Oxidation-induced Stacking Fault-Ring Area in Czochralski Silicon Crystals by Multi-chroic Infrared Light Scattering Tomography and Transmission Electron Microscopy,czochralski silicon,1.0
Study of the Characteristics of Defects in the Oxidation-induced Stacking Fault-Ring Area in Czochralski Silicon Crystals by Multi-chroic Infrared Light Scattering Tomography and Transmission Electron Microscopy,oxidation-induced stacking fault,1.0
Study of the Characteristics of Defects in the Oxidation-induced Stacking Fault-Ring Area in Czochralski Silicon Crystals by Multi-chroic Infrared Light Scattering Tomography and Transmission Electron Microscopy,stacking fault ring,0.97
Study of the Characteristics of Defects in the Oxidation-induced Stacking Fault-Ring Area in Czochralski Silicon Crystals by Multi-chroic Infrared Light Scattering Tomography and Transmission Electron Microscopy,infrared light scattering tomography,0.97
Study of the Characteristics of Defects in the Oxidation-induced Stacking Fault-Ring Area in Czochralski Silicon Crystals by Multi-chroic Infrared Light Scattering Tomography and Transmission Electron Microscopy,transmission electron microscopy,0.93
Study of the Characteristics of Defects in the Oxidation-induced Stacking Fault-Ring Area in Czochralski Silicon Crystals by Multi-chroic Infrared Light Scattering Tomography and Transmission Electron Microscopy,crystal defects,0.92
Study of the Characteristics of Defects in the Oxidation-induced Stacking Fault-Ring Area in Czochralski Silicon Crystals by Multi-chroic Infrared Light Scattering Tomography and Transmission Electron Microscopy,multi-chroic infrared,0.9
Study of the Characteristics of Defects in the Oxidation-induced Stacking Fault-Ring Area in Czochralski Silicon Crystals by Multi-chroic Infrared Light Scattering Tomography and Transmission Electron Microscopy,osf-ring,0.89
Study of the Characteristics of Defects in the Oxidation-induced Stacking Fault-Ring Area in Czochralski Silicon Crystals by Multi-chroic Infrared Light Scattering Tomography and Transmission Electron Microscopy,silicon crystal growth,0.85
Study of the Characteristics of Defects in the Oxidation-induced Stacking Fault-Ring Area in Czochralski Silicon Crystals by Multi-chroic Infrared Light Scattering Tomography and Transmission Electron Microscopy,defect characterization,0.84
Study of the Characteristics of Defects in the Oxidation-induced Stacking Fault-Ring Area in Czochralski Silicon Crystals by Multi-chroic Infrared Light Scattering Tomography and Transmission Electron Microscopy,stacking faults,0.83
Study of the Characteristics of Defects in the Oxidation-induced Stacking Fault-Ring Area in Czochralski Silicon Crystals by Multi-chroic Infrared Light Scattering Tomography and Transmission Electron Microscopy,crystal oxidation,0.8
Study of the Characteristics of Defects in the Oxidation-induced Stacking Fault-Ring Area in Czochralski Silicon Crystals by Multi-chroic Infrared Light Scattering Tomography and Transmission Electron Microscopy,tem analysis,0.79
Study of the Characteristics of Defects in the Oxidation-induced Stacking Fault-Ring Area in Czochralski Silicon Crystals by Multi-chroic Infrared Light Scattering Tomography and Transmission Electron Microscopy,light scattering,0.78
Study of the Characteristics of Defects in the Oxidation-induced Stacking Fault-Ring Area in Czochralski Silicon Crystals by Multi-chroic Infrared Light Scattering Tomography and Transmission Electron Microscopy,silicon wafer,0.76
Study of the Characteristics of Defects in the Oxidation-induced Stacking Fault-Ring Area in Czochralski Silicon Crystals by Multi-chroic Infrared Light Scattering Tomography and Transmission Electron Microscopy,defect imaging,0.74
Study of the Characteristics of Defects in the Oxidation-induced Stacking Fault-Ring Area in Czochralski Silicon Crystals by Multi-chroic Infrared Light Scattering Tomography and Transmission Electron Microscopy,tomographic characterization,0.73
Study of the Characteristics of Defects in the Oxidation-induced Stacking Fault-Ring Area in Czochralski Silicon Crystals by Multi-chroic Infrared Light Scattering Tomography and Transmission Electron Microscopy,infrared tomography,0.72
Study of the Characteristics of Defects in the Oxidation-induced Stacking Fault-Ring Area in Czochralski Silicon Crystals by Multi-chroic Infrared Light Scattering Tomography and Transmission Electron Microscopy,point defect clusters,0.7
Study of the Characteristics of Defects in the Oxidation-induced Stacking Fault-Ring Area in Czochralski Silicon Crystals by Multi-chroic Infrared Light Scattering Tomography and Transmission Electron Microscopy,cz silicon defects,0.68
