domain,doi,power conversion efficiency,open circuit voltage,short circuit current density,fill factor,series resistance,contact resistance,contact resistivity,cell architecture,metallization method,metallization material,contact formation,front contact metallization,rear contact metallization,finger geometry,finger width,finger height,finger aspect ratio,grid line width,electrode geometry,busbar design,transparent conductive oxide,anti-reflection coating,passivation layer,buffer layer,barrier layer,seed layer,masking layer,absorber material,substrate material,wafer thickness,wafer size,conductive paste,ink formulation,paste rheology,paste composition,printing technique,screen printing,sintering method,sintering temperature,curing temperature,curing atmosphere,firing temperature,firing process,laser processing,laser wavelength,photonic sintering,nanoparticle sintering,deposition method,plating process,selective metallization,adhesion strength,mechanical adhesion,contact adhesion,reliability testing,damp heat test,thermal cycling test,degradation mechanism,oxidation resistance,electrical conductivity,film thickness,particle size,material cost,silver consumption,material scarcity,material substitution,manufacturing scalability,process temperature,process throughput,fabrication cost,module interconnection,tandem cell architecture,perovskite composition,heterojunction interface,bifacial design,device stability,environmental impact,photovoltaic technology,technology readiness
-in_development-_>_copper_metallization_review_>_2-technologies,10.1002/pssa.202500493,,,,,,,"≈35 mΩ cm−2 | Under optimized conditions, the process achieves a bulk resistivity (ρb) of ≈19 μΩ·cm and a contact resistivity (ρc) of ≈35 mΩ cm−2.",silicon heterojunction (SHJ) | This study demonstrates a photonic curing approach that uses a continuous-wave CO2 laser (10.6 μm) to sinter micro and nanoscale Cu particles printed as metal grid lines on indium tin oxide (ITO)-coated crystalline silicon (c-Si) wafers for silicon heterojunction (SHJ) PV cells.,microdispensing and CO2 laser sintering | Cu metal fingers are deposited by microdispensing and subsequently sintered with optimized laser parameters.,copper (Cu) | Copper (Cu) is widely regarded as a desirable alternative to silver (Ag) for photovoltaic (PV) cell metallization because it offers much lower cost and greater abundance while maintaining comparable bulk resistivity.,photonic curing / laser sintering | This study demonstrates a photonic curing approach that uses a continuous-wave CO2 laser (10.6 μm) to sinter micro and nanoscale Cu particles printed as metal grid lines on indium tin oxide (ITO)-coated crystalline silicon (c-Si) wafers.,Cu fingers on ITO | Cu metal fingers are deposited by microdispensing and subsequently sintered with optimized laser parameters.,,"widths of ≈190 μm, heights of ≈20 μm, aspect ratios of ≈0.1–0.15 | The printed Cu fingers exhibit widths of ≈190 μm and heights of ≈20 μm, resulting in aspect ratios of ≈0.1–0.15.","≈190 μm | The printed Cu fingers exhibit widths of ≈190 μm and heights of ≈20 μm, resulting in aspect ratios of ≈0.1–0.15.","≈20 μm | The printed Cu fingers exhibit widths of ≈190 μm and heights of ≈20 μm, resulting in aspect ratios of ≈0.1–0.15.","≈0.1–0.15 | The printed Cu fingers exhibit widths of ≈190 μm and heights of ≈20 μm, resulting in aspect ratios of ≈0.1–0.15.","≈190 μm | The printed Cu fingers exhibit widths of ≈190 μm and heights of ≈20 μm, resulting in aspect ratios of ≈0.1–0.15.",metal grid lines / fingers | This study demonstrates a photonic curing approach that uses a continuous-wave CO2 laser (10.6 μm) to sinter micro and nanoscale Cu particles printed as metal grid lines on indium tin oxide (ITO)-coated crystalline silicon (c-Si) wafers.,,indium tin oxide (ITO) | sinter micro and nanoscale Cu particles printed as metal grid lines on indium tin oxide (ITO)-coated crystalline silicon (c-Si) wafers for silicon heterojunction (SHJ) PV cells.,,,,,,,crystalline silicon (c-Si) | sinter micro and nanoscale Cu particles printed as metal grid lines on indium tin oxide (ITO)-coated crystalline silicon (c-Si) wafers for silicon heterojunction (SHJ) PV cells.,ITO-coated crystalline silicon (c-Si) wafers | sinter micro and nanoscale Cu particles printed as metal grid lines on indium tin oxide (ITO)-coated crystalline silicon (c-Si) wafers for silicon heterojunction (SHJ) PV cells.,,,micro and nanoscale Cu particles | This study demonstrates a photonic curing approach that uses a continuous-wave CO2 laser (10.6 μm) to sinter micro and nanoscale Cu particles printed as metal grid lines on indium tin oxide (ITO)-coated crystalline silicon (c-Si) wafers.,micro and nanoscale Cu particles | This study demonstrates a photonic curing approach that uses a continuous-wave CO2 laser (10.6 μm) to sinter micro and nanoscale Cu particles printed as metal grid lines on indium tin oxide (ITO)-coated crystalline silicon (c-Si) wafers.,,micro and nanoscale Cu particles | This study demonstrates a photonic curing approach that uses a continuous-wave CO2 laser (10.6 μm) to sinter micro and nanoscale Cu particles printed as metal grid lines on indium tin oxide (ITO)-coated crystalline silicon (c-Si) wafers.,microdispensing | Cu metal fingers are deposited by microdispensing and subsequently sintered with optimized laser parameters.,,continuous-wave CO2 laser sintering (photonic curing) | This study demonstrates a photonic curing approach that uses a continuous-wave CO2 laser (10.6 μm) to sinter micro and nanoscale Cu particles printed as metal grid lines on indium tin oxide (ITO)-coated crystalline silicon (c-Si) wafers.,,,,,,continuous-wave CO2 laser at 10.6 μm | This study demonstrates a photonic curing approach that uses a continuous-wave CO2 laser (10.6 μm) to sinter micro and nanoscale Cu particles printed as metal grid lines on indium tin oxide (ITO)-coated crystalline silicon (c-Si) wafers.,10.6 μm | This study demonstrates a photonic curing approach that uses a continuous-wave CO2 laser (10.6 μm) to sinter micro and nanoscale Cu particles printed as metal grid lines on indium tin oxide (ITO)-coated crystalline silicon (c-Si) wafers.,continuous-wave CO2 laser (10.6 μm) | This study demonstrates a photonic curing approach that uses a continuous-wave CO2 laser (10.6 μm) to sinter micro and nanoscale Cu particles printed as metal grid lines on indium tin oxide (ITO)-coated crystalline silicon (c-Si) wafers.,micro and nanoscale Cu particles | This study demonstrates a photonic curing approach that uses a continuous-wave CO2 laser (10.6 μm) to sinter micro and nanoscale Cu particles printed as metal grid lines on indium tin oxide (ITO)-coated crystalline silicon (c-Si) wafers.,microdispensing | Cu metal fingers are deposited by microdispensing and subsequently sintered with optimized laser parameters.,,,,,,,,,,"The method enables rapid, localized heating that minimizes both oxidation and thermal stress on temperature-sensitive layers.","bulk resistivity ≈19 μΩ·cm | Under optimized conditions, the process achieves a bulk resistivity (ρb) of ≈19 μΩ·cm and a contact resistivity (ρc) of ≈35 mΩ cm−2.","≈20 μm | The printed Cu fingers exhibit widths of ≈190 μm and heights of ≈20 μm, resulting in aspect ratios of ≈0.1–0.15.",micro and nanoscale | This study demonstrates a photonic curing approach that uses a continuous-wave CO2 laser (10.6 μm) to sinter micro and nanoscale Cu particles printed as metal grid lines on indium tin oxide (ITO)-coated crystalline silicon (c-Si) wafers.,much lower cost | Copper (Cu) is widely regarded as a desirable alternative to silver (Ag) for photovoltaic (PV) cell metallization because it offers much lower cost and greater abundance while maintaining comparable bulk resistivity.,Copper (Cu) is widely regarded as a desirable alternative to silver (Ag) for photovoltaic (PV) cell metallization because it offers much lower cost and greater abundance while maintaining comparable bulk resistivity.,greater abundance (Cu vs Ag) | Copper (Cu) is widely regarded as a desirable alternative to silver (Ag) for photovoltaic (PV) cell metallization because it offers much lower cost and greater abundance while maintaining comparable bulk resistivity.,Cu as alternative to Ag | Copper (Cu) is widely regarded as a desirable alternative to silver (Ag) for photovoltaic (PV) cell metallization because it offers much lower cost and greater abundance while maintaining comparable bulk resistivity.,"The method enables rapid, localized heating that minimizes both oxidation and thermal stress on temperature-sensitive layers, while remaining compatible with advanced solar cell technologies, including SHJ and tandem devices.","The method enables rapid, localized heating that minimizes both oxidation and thermal stress on temperature-sensitive layers.",,,,"tandem devices | The method enables rapid, localized heating that minimizes both oxidation and thermal stress on temperature-sensitive layers, while remaining compatible with advanced solar cell technologies, including SHJ and tandem devices.",,silicon heterojunction (SHJ) | This study demonstrates a photonic curing approach that uses a continuous-wave CO2 laser (10.6 μm) to sinter micro and nanoscale Cu particles printed as metal grid lines on indium tin oxide (ITO)-coated crystalline silicon (c-Si) wafers for silicon heterojunction (SHJ) PV cells.,,,,silicon heterojunction (SHJ) PV cells | This study demonstrates a photonic curing approach that uses a continuous-wave CO2 laser (10.6 μm) to sinter micro and nanoscale Cu particles printed as metal grid lines on indium tin oxide (ITO)-coated crystalline silicon (c-Si) wafers for silicon heterojunction (SHJ) PV cells.,"The oxidation of Cu remains a major challenge, as it requires inert atmospheric conditions that hinder manufacturability."
-in_development-_>_copper_metallization_review_>_2-technologies,10.1063/5.0126222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-in_development-_>_copper_metallization_review_>_2-technologies,10.1063/5.0127359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-in_development-_>_copper_metallization_review_>_2-technologies,10.1364/OE.518575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-in_development-_>_copper_metallization_review_>_2-technologies,10.1002/ente.202400066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-in_development-_>_copper_metallization_review_>_2-technologies,10.1002/ente.202200702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-in_development-_>_copper_metallization_review_>_2-technologies,10.1134/S1063782623090014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-in_development-_>_copper_metallization_review_>_2-technologies,10.1002/solr.202200874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-in_development-_>_copper_metallization_review_>_2-technologies,10.1109/PVSC57443.2024.10749497,"19.25% | An efficiency of 19.25% has been achieved with Voc = 654 mV, FF = 76.68%, Jsc = 38.40 mA/cm2 for champion PERC cells.","654 mV | An efficiency of 19.25% has been achieved with Voc = 654 mV, FF = 76.68%, Jsc = 38.40 mA/cm2 for champion PERC cells.","38.40 mA/cm2 | An efficiency of 19.25% has been achieved with Voc = 654 mV, FF = 76.68%, Jsc = 38.40 mA/cm2 for champion PERC cells.","76.68% | An efficiency of 19.25% has been achieved with Voc = 654 mV, FF = 76.68%, Jsc = 38.40 mA/cm2 for champion PERC cells.",Rs map | Biased PL imaging performed at 1 Sun and 0.2 Suns yields the map of series resistance (Rs) as shown in Fig. 5.,,~2 – 3 × 10-5 Ωcm | The resistivity of the Cu paste is ~2 – 3 × 10-5 Ωcm.,"PERC (passivated emitter rear contact) | In this work, we present the performance and reliability of a fire-through copper (Cu) paste which has been screen printed on c-Si solar cell with passivated emitter rear contact (PERC).","screen printing | In this abstract, we investigate the performance and reliability of a screen-printable, fire through Cu paste on PERC solar cells.",copper (Cu) paste | The Cu paste is fired through silicon nitride (SiN) anti-reflection coating at a peak temperature of 630 °C.,fire-through | The Cu paste is fired through silicon nitride (SiN) anti-reflection coating at a peak temperature of 630 °C.,screen-printed Cu paste | The selective emitter PERC cells were fabricated on M6 sized (166 mm × 166 mm) monocrystalline p-type wafers with a front grid screen-printed with Cu paste and aluminum (Al) contacts with localized contact openings on the rear side.,aluminum (Al) | The selective emitter PERC cells were fabricated on M6 sized (166 mm × 166 mm) monocrystalline p-type wafers with a front grid screen-printed with Cu paste and aluminum (Al) contacts with localized contact openings on the rear side.,"width ~100 μm, height 28.7 μm, aspect ratio 0.27 | Fig. 2 shows the SEM image of the Cu finger having a width of ~100 μm and height of 28.7 μm. The aspect ratio is 0.27 which has improved over time with optimization of printing parameters for the Cu paste.",~100 μm | Fig. 2 shows the SEM image of the Cu finger having a width of ~100 μm and height of 28.7 μm.,28.7 μm | Fig. 2 shows the SEM image of the Cu finger having a width of ~100 μm and height of 28.7 μm.,0.27 | The aspect ratio is 0.27 which has improved over time with optimization of printing parameters for the Cu paste.,~100 μm | Fig. 2 shows the SEM image of the Cu finger having a width of ~100 μm and height of 28.7 μm.,front grid fingers | Fig. 2 shows the SEM image of the Cu finger having a width of ~100 μm and height of 28.7 μm.,busbar with ECA | An electrically conductive adhesive (ECA) was put on busbar at the center before encapsulation to facilitate the measurement of Suns-Voc curves during the investigation.,,silicon nitride (SiN) | The Cu paste is fired through silicon nitride (SiN) anti-reflection coating at a peak temperature of 630 °C.,"passivated emitter rear contact (PERC) | In this work, we present the performance and reliability of a fire-through copper (Cu) paste which has been screen printed on c-Si solar cell with passivated emitter rear contact (PERC).",,~200 nm oxide shell | SEM images of the Cu paste show a Cu core with ~200 nm oxide shell around the particles. This conductive oxide layer acts as a diffusion barrier between Cu and Si and prevents the degradation of cell performance during accelerated aging conditions.,,,crystalline silicon (c-Si) | Crystalline silicon (c-Si) solar cells cover approximately 97% of the world market share.,monocrystalline p-type wafers | The selective emitter PERC cells were fabricated on M6 sized (166 mm × 166 mm) monocrystalline p-type wafers with a front grid screen-printed with Cu paste.,,M6 sized (166 mm × 166 mm) | The selective emitter PERC cells were fabricated on M6 sized (166 mm × 166 mm) monocrystalline p-type wafers.,"fire-through copper (Cu) paste | In this work, we present the performance and reliability of a fire-through copper (Cu) paste which has been screen printed on c-Si solar cell with passivated emitter rear contact (PERC).",,,Cu core with ~200 nm oxide shell | SEM images of the Cu paste show a Cu core with ~200 nm oxide shell around the particles.,screen printing | The front Cu paste was screen printed and fired in a 6-zone belt firing furnace.,"screen-printable fire-through Cu paste | In this abstract, we investigate the performance and reliability of a screen-printable, fire through Cu paste on PERC solar cells.",belt firing furnace | The front Cu paste was screen printed and fired in a 6-zone belt firing furnace.,~630°C | The optimized peak temperature for firing of the Cu paste is found to be ~630°C for the current composition of the paste.,,,~630°C | The Cu paste is fired through silicon nitride (SiN) anti-reflection coating at a peak temperature of 630 °C.,6-zone belt firing furnace at peak temperature 630°C | The front Cu paste was screen printed and fired in a 6-zone belt firing furnace.,,,,,screen printing | The front Cu paste was screen printed and fired in a 6-zone belt firing furnace.,electroplating | Electroplating remains the most common technique for Cu metallization on c-Si solar cells with the highest efficiency of 26.41% achieved for Cu plated bifacial SHJ cell on an M6 size wafer.,selective emitter PERC | The selective emitter PERC cells were fabricated on M6 sized (166 mm × 166 mm) monocrystalline p-type wafers with a front grid screen-printed with Cu paste.,,,"While the oxide layer around the Cu particles provides a barrier against the diffusion of Cu into Si, it becomes difficult to conventionally solder ribbons on to the busbars.","damp heat 85°C/85% humidity for 1500 hours | Accelerated testing of the PERC mini-modules in damp heat chamber with 85°C and 85% humidity have demonstrated that the devices are operational even after 1,500 hours.","85°C and 85% humidity for 1500 hours | Accelerated testing of the PERC mini-modules in damp heat chamber with 85°C and 85% humidity have demonstrated that the devices are operational even after 1,500 hours.",,Cu diffusion into Si; shunts | These bright spots which have been identified as shunts in DLIT. These spots will be further investigated microscopically to understand the Cu/Si interface.,~200 nm oxide shell acts as diffusion barrier | This conductive oxide layer acts as a diffusion barrier between Cu and Si and prevents the degradation of cell performance during accelerated aging conditions.,~2 – 3 × 10-5 Ωcm resistivity | The resistivity of the Cu paste is ~2 – 3 × 10-5 Ωcm.,28.7 μm | Fig. 2 shows the SEM image of the Cu finger having a width of ~100 μm and height of 28.7 μm.,~200 nm oxide shell | SEM images of the Cu paste show a Cu core with ~200 nm oxide shell around the particles.,"cheaper than Ag | Copper (Cu) is an excellent alternative to Ag; being cheaper, more abundant and exhibiting similar electrical resistivities.","reduction in silver (Ag) consumption | According to the ITRPV 2023, the world market dependency requires reduction in silver (Ag) consumption as one of the major ways to meet future production and cost targets for c-Si PV.","Ag scarcity concern | According to the ITRPV 2023, the world market dependency requires reduction in silver (Ag) consumption as one of the major ways to meet future production and cost targets for c-Si PV.","Cu replacing Ag | Copper (Cu) is an excellent alternative to Ag; being cheaper, more abundant and exhibiting similar electrical resistivities.","screen-printable, compatible with existing process | The use of fire-through and screen printable Cu pastes show a great promise for metallization in c-Si solar cells. They can potentially reduce the cost of PV production processes to a great extent.",~630°C | The optimized peak temperature for firing of the Cu paste is found to be ~630°C for the current composition of the paste.,,"reduced cost | They can potentially reduce the cost of PV production processes to a great extent and hence, are of extreme relevance to the PV community.",smart wire connection technology; ultrasonic soldering | Different techniques such as smart wires (Fig. 6) and ultrasonic soldering (Fig. 8) are being used to solve the issue.,,,,,"operational after 1500 hours damp heat | Accelerated testing of the PERC mini-modules in damp heat chamber with 85°C and 85% humidity have demonstrated that the devices are operational even after 1,500 hours.",,"c-Si PERC solar cells | Crystalline silicon (c-Si) solar cells cover approximately 97% of the world market share, and hence, were responsible for ~1.15 TW of photovoltaic (PV) capacity installed all over the world at the end of the year 2022.",promising but under development | The use of fire-through and screen printable Cu pastes show a great promise for metallization in c-Si solar cells.
-in_development-_>_copper_metallization_review_>_2-technologies,10.1002/pip.3863,"above 26% | In this batch, average efficiency reached above 26%.",,,,,,,TOPCon | This article describes the structure and manufacturing process of TOPCon solar cells patterned with an ultrashort pulse laser and metalized using this novel horizontal double-sided copper metallization technology.,horizontal double-sided copper metallization | this article reports a horizontal double-sided copper metallization technology.,"copper | Compared with metallic silver, copper has the characteristics of low carbon emissions and low cost, which can effectively reduce the carbon footprint.",ultrashort pulse laser patterning + copper metallization | This article describes the structure and manufacturing process of TOPCon solar cells patterned with an ultrashort pulse laser and metalized using this novel horizontal double-sided copper metallization technology.,copper (double-sided) | This technology can not only metalize the front and back sides of various types of silicon solar cells at the same time.,copper (double-sided) | This technology can not only metalize the front and back sides of various types of silicon solar cells at the same time.,,,,,,,,,,,,,,,silicon | This technology can not only metalize the front and back sides of various types of silicon solar cells at the same time.,silicon | This technology can not only metalize the front and back sides of various types of silicon solar cells at the same time.,,,,,,,,,,,,,,,ultrashort pulse laser patterning | This article describes the structure and manufacturing process of TOPCon solar cells patterned with an ultrashort pulse laser and metalized using this novel horizontal double-sided copper metallization technology.,,,,horizontal double-sided copper metallization | this article reports a horizontal double-sided copper metallization technology.,copper metallization (plating) | this article reports a horizontal double-sided copper metallization technology.,ultrashort pulse laser patterning | This article describes the structure and manufacturing process of TOPCon solar cells patterned with an ultrashort pulse laser and metalized using this novel horizontal double-sided copper metallization technology.,,,,,,,,,,,,"low cost (copper vs. silver) | Compared with metallic silver, copper has the characteristics of low carbon emissions and low cost, which can effectively reduce the carbon footprint.","eliminated (replaced by copper) | Compared with metallic silver, copper has the characteristics of low carbon emissions and low cost, which can effectively reduce the carbon footprint.",,"copper replacing silver | Compared with metallic silver, copper has the characteristics of low carbon emissions and low cost, which can effectively reduce the carbon footprint.",suitable for industrial mass production | making it suitable for the industrial mass production of solar cells.,,"fast speed | This technology can not only metalize the front and back sides of various types of silicon solar cells at the same time but also has fast speed, good uniformity, and simple process.","low cost | Compared with metallic silver, copper has the characteristics of low carbon emissions and low cost, which can effectively reduce the carbon footprint.",,,,,double-sided (front and back) | This technology can not only metalize the front and back sides of various types of silicon solar cells at the same time.,,"low carbon footprint | Compared with metallic silver, copper has the characteristics of low carbon emissions and low cost, which can effectively reduce the carbon footprint.",TOPCon silicon solar cells with copper metallization | This article describes the structure and manufacturing process of TOPCon solar cells patterned with an ultrashort pulse laser and metalized using this novel horizontal double-sided copper metallization technology.,suitable for industrial mass production | making it suitable for the industrial mass production of solar cells.
