concept,doc_frequency,mds:studyStage,mds:supplyChainLevel
absorber material,14,mds:sample,"mds:materials, mds:subcomponent"
cell architecture,12,mds:sample,mds:component
device efficiency,11,mds:result,mds:component
metallization method,11,mds:synthesis,mds:subcomponent
contact resistivity,7,mds:result,mds:subcomponent
deposition method,7,mds:synthesis,mds:subcomponent
metallization material,7,mds:sample,"mds:materials, mds:subcomponent"
substrate material,7,mds:sample,"mds:materials, mds:subcomponent"
transparent conductive oxide,7,mds:sample,"mds:materials, mds:subcomponent"
electrode material,6,mds:sample,"mds:materials, mds:subcomponent"
reference metallization,5,mds:sample,mds:subcomponent
solar cell architecture,5,mds:sample,mds:component
application domain,4,mds:results and metadata,mds:system
particle morphology,4,mds:result,mds:materials
silver consumption,4,mds:results and metadata,mds:materials
sintering method,4,mds:materials processing,mds:subcomponent
cell area,3,mds:result,mds:component
contact resistance,3,mds:result,mds:subcomponent
degradation mechanism,3,mds:analysis,"mds:component, mds:subsystem"
electrode geometry,3,mds:sample,mds:subcomponent
environmental impact,3,mds:results and metadata,mds:system
fill factor,3,mds:result,mds:component
finger width,3,mds:result,mds:subcomponent
ink composition,3,mds:formulation,mds:materials
metallization cost,3,mds:results and metadata,mds:subcomponent
paste composition,3,mds:formulation,mds:materials
paste rheology,3,mds:result,mds:materials
patterning technique,3,mds:materials processing,mds:subcomponent
photovoltaic technology,3,mds:results and metadata,"mds:component, mds:subsystem, mds:system"
process scalability,3,mds:results and metadata,"mds:subcomponent, mds:component"
reliability test,3,mds:tool,"mds:component, mds:subsystem"
seed layer material,3,mds:sample,"mds:materials, mds:subcomponent"
adhesion improvement,2,mds:materials processing,mds:subcomponent
alternative metallization,2,mds:sample,mds:subcomponent
cell configuration,2,mds:sample,mds:component
cell efficiency,2,mds:result,mds:component
cell technology,2,mds:results and metadata,mds:component
cell type,2,mds:sample,mds:component
conductive paste,2,mds:formulation,mds:materials
conductor material,2,mds:sample,"mds:materials, mds:subcomponent"
contact formation,2,"mds:m, mds:a, mds:t, mds:e, mds:r, mds:i, mds:a, mds:l, mds:s, mds: , mds:p, mds:r, mds:o, mds:c, mds:e, mds:s, mds:s, mds:i, mds:n, mds:g","mds:subcomponent, mds:component"
contact formation method,2,"mds:m, mds:a, mds:t, mds:e, mds:r, mds:i, mds:a, mds:l, mds:s, mds: , mds:p, mds:r, mds:o, mds:c, mds:e, mds:s, mds:s, mds:i, mds:n, mds:g","mds:subcomponent, mds:component"
contact metallization material,2,"mds:s, mds:a, mds:m, mds:p, mds:l, mds:e","mds:materials, mds:subcomponent"
electrical characterization,2,"mds:t, mds:o, mds:o, mds:l","mds:component, mds:subcomponent"
film thickness,2,"mds:r, mds:e, mds:s, mds:u, mds:l, mds:t",mds:subcomponent
finger aspect ratio,2,"mds:r, mds:e, mds:s, mds:u, mds:l, mds:t",mds:subcomponent
finger geometry,2,"mds:r, mds:e, mds:s, mds:u, mds:l, mds:t",mds:subcomponent
finger height,2,"mds:r, mds:e, mds:s, mds:u, mds:l, mds:t",mds:subcomponent
heating mechanism,2,"mds:r, mds:e, mds:c, mds:i, mds:p, mds:e","mds:materials, mds:subcomponent"
impurity diffusion,2,"mds:m, mds:a, mds:t, mds:e, mds:r, mds:i, mds:a, mds:l, mds:s, mds: , mds:p, mds:r, mds:o, mds:c, mds:e, mds:s, mds:s, mds:i, mds:n, mds:g",mds:subcomponent
ink type,2,"mds:f, mds:o, mds:r, mds:m, mds:u, mds:l, mds:a, mds:t, mds:i, mds:o, mds:n",mds:materials
light source,2,"mds:t, mds:o, mds:o, mds:l","mds:component, mds:subcomponent"
line resistance,2,"mds:r, mds:e, mds:s, mds:u, mds:l, mds:t",mds:subcomponent
manufacturing cost,2,"mds:r, mds:e, mds:s, mds:u, mds:l, mds:t, mds:s, mds: , mds:a, mds:n, mds:d, mds: , mds:m, mds:e, mds:t, mds:a, mds:d, mds:a, mds:t, mds:a","mds:system, mds:subsystem"
manufacturing method,2,"mds:m, mds:a, mds:t, mds:e, mds:r, mds:i, mds:a, mds:l, mds:s, mds: , mds:p, mds:r, mds:o, mds:c, mds:e, mds:s, mds:s, mds:i, mds:n, mds:g","mds:component, mds:subcomponent"
manufacturing scalability,2,"mds:r, mds:e, mds:s, mds:u, mds:l, mds:t, mds:s, mds: , mds:a, mds:n, mds:d, mds: , mds:m, mds:e, mds:t, mds:a, mds:d, mds:a, mds:t, mds:a","mds:subsystem, mds:system"
masking layer material,2,"mds:s, mds:a, mds:m, mds:p, mds:l, mds:e","mds:materials, mds:subcomponent"
metallization technique,2,"mds:m, mds:a, mds:t, mds:e, mds:r, mds:i, mds:a, mds:l, mds:s, mds: , mds:p, mds:r, mds:o, mds:c, mds:e, mds:s, mds:s, mds:i, mds:n, mds:g","mds:subcomponent, mds:component"
metallization technology,2,"mds:m, mds:a, mds:t, mds:e, mds:r, mds:i, mds:a, mds:l, mds:s, mds: , mds:p, mds:r, mds:o, mds:c, mds:e, mds:s, mds:s, mds:i, mds:n, mds:g","mds:subcomponent, mds:component"
microstructural characterization,2,"mds:t, mds:o, mds:o, mds:l","mds:materials, mds:subcomponent"
open circuit voltage,2,"mds:r, mds:e, mds:s, mds:u, mds:l, mds:t",mds:component
passivation method,2,"mds:m, mds:a, mds:t, mds:e, mds:r, mds:i, mds:a, mds:l, mds:s, mds: , mds:p, mds:r, mds:o, mds:c, mds:e, mds:s, mds:s, mds:i, mds:n, mds:g",mds:subcomponent
paste formulation,2,"mds:f, mds:o, mds:r, mds:m, mds:u, mds:l, mds:a, mds:t, mds:i, mds:o, mds:n",mds:materials
patterning method,2,"mds:m, mds:a, mds:t, mds:e, mds:r, mds:i, mds:a, mds:l, mds:s, mds: , mds:p, mds:r, mds:o, mds:c, mds:e, mds:s, mds:s, mds:i, mds:n, mds:g",mds:subcomponent
photoconversion efficiency,2,"mds:r, mds:e, mds:s, mds:u, mds:l, mds:t",mds:component
plating process,2,"mds:s, mds:y, mds:n, mds:t, mds:h, mds:e, mds:s, mds:i, mds:s",mds:subcomponent
print quality,2,"mds:r, mds:e, mds:s, mds:u, mds:l, mds:t",mds:subcomponent
process complexity,2,"mds:r, mds:e, mds:s, mds:u, mds:l, mds:t, mds:s, mds: , mds:a, mds:n, mds:d, mds: , mds:m, mds:e, mds:t, mds:a, mds:d, mds:a, mds:t, mds:a","mds:subcomponent, mds:component"
process throughput,2,"mds:r, mds:e, mds:s, mds:u, mds:l, mds:t, mds:s, mds: , mds:a, mds:n, mds:d, mds: , mds:m, mds:e, mds:t, mds:a, mds:d, mds:a, mds:t, mds:a","mds:component, mds:subsystem"
processing atmosphere,2,"mds:r, mds:e, mds:c, mds:i, mds:p, mds:e","mds:materials, mds:subcomponent"
processing temperature,2,"mds:r, mds:e, mds:c, mds:i, mds:p, mds:e","mds:materials, mds:subcomponent"
reference contact material,2,"mds:s, mds:a, mds:m, mds:p, mds:l, mds:e","mds:materials, mds:subcomponent"
replaced material,2,"mds:s, mds:a, mds:m, mds:p, mds:l, mds:e","mds:materials, mds:subcomponent"
series resistance,2,"mds:r, mds:e, mds:s, mds:u, mds:l, mds:t",mds:component
short circuit current density,2,"mds:r, mds:e, mds:s, mds:u, mds:l, mds:t",mds:component
substrate temperature tolerance,2,"mds:r, mds:e, mds:c, mds:i, mds:p, mds:e","mds:subcomponent, mds:component"
tandem cell architecture,2,"mds:s, mds:a, mds:m, mds:p, mds:l, mds:e","mds:component, mds:assembly"
